id;day;month;year;N1;N2;N3;N4;N5
5961;25;08;2022;7;21;23;29;42
5960;24;08;2022;9;18;22;33;41
5959;23;08;2022;10;26;32;38;42
5958;22;08;2022;2;8;10;11;36
5957;21;08;2022;6;16;19;31;35
5956;20;08;2022;17;19;20;22;32
5955;19;08;2022;16;21;28;31;36
5954;18;08;2022;1;10;14;21;35
5953;17;08;2022;3;8;11;16;28
5952;16;08;2022;14;23;34;36;37
5951;15;08;2022;6;8;11;39;42
5950;14;08;2022;12;13;24;35;38
5949;13;08;2022;24;25;35;39;40
5948;12;08;2022;9;13;15;18;36
5947;11;08;2022;11;26;32;36;38
5946;10;08;2022;15;17;19;30;36
5945;09;08;2022;2;8;12;20;33
5944;08;08;2022;4;12;16;19;39
5943;07;08;2022;2;12;13;22;41
5942;06;08;2022;2;3;14;21;42
5941;05;08;2022;11;17;20;21;37
5940;04;08;2022;1;10;13;14;36
5939;03;08;2022;2;12;26;28;36
5938;02;08;2022;18;28;30;32;36
5937;01;08;2022;1;2;6;14;40
5936;31;07;2022;10;26;29;40;42
5935;30;07;2022;2;12;15;37;39
5934;29;07;2022;17;18;31;41;42
5933;28;07;2022;17;26;31;35;37
5932;27;07;2022;17;18;27;31;40
5931;26;07;2022;11;31;32;34;38
5930;25;07;2022;9;19;36;37;41
5929;24;07;2022;11;21;22;36;37
5928;23;07;2022;25;33;38;39;42
5927;22;07;2022;13;30;31;33;40
5926;21;07;2022;9;10;21;35;42
5925;20;07;2022;1;7;15;19;39
5924;19;07;2022;1;5;7;18;33
5923;18;07;2022;10;11;22;24;36
5922;17;07;2022;11;13;24;29;37
5921;16;07;2022;25;27;32;35;39
5920;15;07;2022;11;18;28;35;36
5919;14;07;2022;1;8;12;16;34
5918;13;07;2022;3;8;22;34;40
5917;12;07;2022;4;9;22;31;38
5916;11;07;2022;2;3;14;34;35
5915;10;07;2022;8;20;31;37;38
5914;09;07;2022;1;18;21;32;41
5913;08;07;2022;11;16;21;32;41
5912;07;07;2022;7;15;23;33;41
5911;06;07;2022;5;11;15;32;35
5910;05;07;2022;14;15;17;30;37
5909;04;07;2022;10;15;17;19;33
5908;03;07;2022;5;10;22;29;35
5907;02;07;2022;8;21;22;27;29
5906;01;07;2022;7;13;21;23;26
5905;30;06;2022;1;10;17;20;27
5904;29;06;2022;17;33;36;38;41
5903;28;06;2022;5;6;10;14;35
5902;27;06;2022;13;21;29;32;36
5901;26;06;2022;2;20;21;32;39
5900;25;06;2022;2;7;13;19;28
5899;24;06;2022;12;19;21;32;39
5898;23;06;2022;8;14;33;41;42
5897;22;06;2022;2;4;10;15;36
5896;21;06;2022;11;17;24;31;37
5895;20;06;2022;1;11;18;20;22
5894;19;06;2022;12;21;25;26;32
5893;18;06;2022;24;26;30;36;38
5892;17;06;2022;11;12;25;35;41
5891;16;06;2022;5;13;27;30;36
5890;15;06;2022;3;7;14;20;30
5889;14;06;2022;3;10;16;17;35
5888;13;06;2022;15;19;20;25;29
5887;12;06;2022;2;6;10;22;26
5886;11;06;2022;18;33;38;41;42
5885;10;06;2022;19;25;31;32;42
5884;09;06;2022;6;9;15;22;23
5883;08;06;2022;8;17;22;26;35
5882;07;06;2022;4;7;12;20;33
5881;06;06;2022;1;20;22;25;33
5880;05;06;2022;2;12;20;22;33
5879;04;06;2022;3;5;9;14;38
5878;03;06;2022;7;12;14;24;39
5877;02;06;2022;1;4;8;37;39
5876;01;06;2022;1;13;30;35;37
5875;31;05;2022;2;8;18;22;31
5874;30;05;2022;1;9;10;36;40
5873;29;05;2022;3;11;21;24;41
5872;28;05;2022;1;16;17;24;38
5871;27;05;2022;4;19;22;26;29
5870;26;05;2022;10;23;24;28;35
5869;25;05;2022;8;14;15;37;38
5868;24;05;2022;25;28;36;40;41
5867;23;05;2022;2;11;12;36;39
5866;22;05;2022;7;9;34;39;40
5865;21;05;2022;8;25;36;38;40
5864;20;05;2022;11;31;32;33;41
5863;19;05;2022;17;18;21;40;41
5862;18;05;2022;2;3;12;23;27
5861;17;05;2022;3;15;21;36;42
5860;16;05;2022;12;24;25;28;30
5859;15;05;2022;4;11;17;24;31
5858;14;05;2022;2;11;13;26;40
5857;13;05;2022;19;28;32;33;37
5856;12;05;2022;2;4;8;14;36
5855;11;05;2022;7;16;21;31;42
5854;10;05;2022;6;10;14;25;29
5853;09;05;2022;3;11;26;38;39
5852;08;05;2022;12;17;23;28;33
5851;07;05;2022;8;10;11;25;38
5850;06;05;2022;2;3;8;21;22
5849;05;05;2022;5;10;17;19;41
5848;04;05;2022;17;27;29;31;35
5847;03;05;2022;13;22;25;33;38
5846;02;05;2022;12;21;33;34;37
5845;01;05;2022;19;20;27;29;31
5844;30;04;2022;2;7;20;26;31
5843;29;04;2022;8;15;23;24;35
5842;28;04;2022;2;15;22;29;41
5841;27;04;2022;6;14;23;28;30
5840;26;04;2022;2;12;40;41;42
5839;25;04;2022;3;10;15;20;41
5838;24;04;2022;4;18;21;40;41
5837;23;04;2022;1;7;10;29;41
5836;22;04;2022;7;15;26;28;40
5835;21;04;2022;3;4;14;15;16
5834;20;04;2022;6;9;15;25;36
5833;19;04;2022;1;8;9;25;33
5832;18;04;2022;1;21;28;36;38
5831;17;04;2022;2;17;26;27;31
5830;16;04;2022;7;13;15;23;35
5829;15;04;2022;12;21;33;39;40
5828;14;04;2022;8;22;24;25;26
5827;13;04;2022;17;24;31;33;42
5826;12;04;2022;1;4;13;25;28
5825;11;04;2022;11;14;15;23;35
5824;10;04;2022;7;10;12;18;33
5823;09;04;2022;10;11;23;32;33
5822;08;04;2022;9;15;18;40;42
5821;07;04;2022;9;10;12;33;36
5820;06;04;2022;14;16;22;32;33
5819;05;04;2022;2;11;27;31;40
5818;04;04;2022;16;17;22;38;40
5817;03;04;2022;4;9;15;16;30
5816;02;04;2022;6;11;15;26;33
5815;01;04;2022;2;11;16;31;33
5814;31;03;2022;9;16;27;35;36
5813;30;03;2022;4;19;36;39;40
5812;29;03;2022;6;12;13;21;37
5811;28;03;2022;1;34;35;38;39
5810;27;03;2022;9;18;21;25;39
5809;26;03;2022;1;22;38;40;42
5808;25;03;2022;2;3;27;28;34
5807;24;03;2022;6;11;12;38;41
5806;23;03;2022;14;17;27;32;36
5805;22;03;2022;1;14;18;19;37
5804;21;03;2022;13;27;33;34;37
5803;20;03;2022;11;12;14;34;36
5802;19;03;2022;11;13;18;31;34
5801;18;03;2022;2;12;26;34;38
5800;17;03;2022;14;35;36;41;42
5799;16;03;2022;10;15;19;41;42
5798;15;03;2022;7;23;28;30;42
5797;14;03;2022;3;11;14;16;25
5796;13;03;2022;6;14;25;37;39
5795;12;03;2022;4;14;19;36;38
5794;11;03;2022;7;26;32;35;42
5793;10;03;2022;25;27;28;29;33
5792;09;03;2022;3;4;14;20;36
5791;08;03;2022;32;33;36;37;42
5790;07;03;2022;25;28;30;34;37
5789;06;03;2022;1;6;22;23;31
5788;05;03;2022;2;13;17;24;26
5787;04;03;2022;3;18;21;28;42
5786;03;03;2022;6;13;26;35;37
5785;02;03;2022;2;3;19;34;40
5784;01;03;2022;4;6;18;25;40
5783;28;02;2022;7;18;26;33;36
5782;27;02;2022;7;10;25;28;42
5781;26;02;2022;7;9;10;12;40
5780;25;02;2022;7;13;20;25;33
5779;24;02;2022;11;25;32;38;40
5778;23;02;2022;3;7;24;40;42
5777;22;02;2022;15;23;26;28;34
5776;21;02;2022;4;5;7;21;24
5775;20;02;2022;6;12;17;22;28
5774;19;02;2022;4;8;13;21;24
5773;18;02;2022;3;7;13;20;35
5772;17;02;2022;10;13;18;35;40
5771;16;02;2022;3;4;20;29;32
5770;15;02;2022;4;12;15;16;20
5769;14;02;2022;4;14;30;31;41
5768;13;02;2022;15;24;26;29;32
5767;12;02;2022;1;8;16;22;37
5766;11;02;2022;2;16;28;41;42
5765;10;02;2022;2;5;21;25;33
5764;09;02;2022;9;15;24;30;38
5763;08;02;2022;8;21;36;39;40
5762;07;02;2022;7;14;21;22;28
5761;06;02;2022;7;8;17;29;33
5760;05;02;2022;7;22;25;32;38
5759;04;02;2022;11;14;25;38;40
5758;03;02;2022;2;7;13;17;39
5757;02;02;2022;8;12;18;23;24
5756;01;02;2022;9;16;27;35;41
5755;31;01;2022;9;12;25;30;42
5754;30;01;2022;1;3;12;14;19
5753;29;01;2022;5;16;19;22;37
5752;28;01;2022;4;7;21;28;30
5751;27;01;2022;1;6;15;32;35
5750;26;01;2022;1;7;10;13;17
5749;25;01;2022;4;8;20;29;36
5748;24;01;2022;4;8;18;21;36
5747;23;01;2022;5;7;21;33;39
5746;22;01;2022;6;7;9;18;29
5745;21;01;2022;5;18;26;28;33
5744;20;01;2022;6;8;9;28;33
5743;19;01;2022;2;6;10;19;36
5742;18;01;2022;2;24;32;34;40
5741;17;01;2022;5;6;12;16;36
5740;16;01;2022;9;13;14;29;34
5739;15;01;2022;18;21;24;26;28
5738;14;01;2022;3;14;17;19;24
5737;13;01;2022;4;10;17;28;30
5736;12;01;2022;3;23;35;39;42
5735;11;01;2022;9;16;22;25;29
5734;10;01;2022;4;8;22;28;34
5733;09;01;2022;1;9;18;32;42
5732;08;01;2022;4;12;29;34;37
5731;07;01;2022;6;29;32;36;42
5730;06;01;2022;11;19;36;37;40
5729;05;01;2022;9;11;20;21;37
5728;04;01;2022;5;7;8;11;30
5727;03;01;2022;4;10;20;40;42
5726;02;01;2022;2;7;23;37;42
5725;01;01;2022;3;4;28;33;42

